Species CountA CountC CountG CountT CountA_Syn CountC_Syn CountG_Syn CountT_Syn
Chlorocebus_sabaeus.ND1 1017 1138 394 855 296 258 16 77
Chlorocebus_tantalus.ATP6 873 905 256 676 233 158 30 107
Chlorocebus_tantalus.ATP8 190 150 25 79 6 25 8 3
Chlorocebus_tantalus.COX1 1596 1668 997 1843 380 355 78 244
Chlorocebus_tantalus.COX2 774 718 339 665 178 142 28 67
Chlorocebus_tantalus.COX3 885 975 411 859 234 186 21 98
Chlorocebus_tantalus.CytB 3777 4397 1447 3409 1125 839 87 242
Chlorocebus_tantalus.ND1 1120 1219 394 936 332 272 18 94
Chlorocebus_tantalus.ND2 1370 1274 304 892 307 293 8 87
Chlorocebus_tantalus.ND3 455 420 125 380 125 86 1 25
Chlorocebus_tantalus.ND4 1752 1768 503 1420 402 363 37 144
Chlorocebus_tantalus.ND4L 320 358 132 338 105 71 11 38
Chlorocharis_emiliae.CytB 7333 8584 3617 6683 2441 1586 261 622
Chlorophanes_spiza.CytB 6045 7857 2774 5216 1903 1729 113 328
Chlorophanes_spiza.ND2 1193 1545 443 971 299 361 20 147
Chodsigoa_parca.CytB 1297 1235 595 1409 350 220 30 149
Chondrostoma_nasus.CytB 1485 1587 964 1634 417 273 151 173
Chrysemys_picta.CytB 2487 2556 952 2357 792 430 20 276
Chrysolampis_mosquitus.ND2 1190 1195 467 950 322 216 69 114
Chrysolophus_amherstiae.CytB 1274 1570 559 1157 373 355 17 96
Chrysolophus_pictus.CytB 2569 3150 1099 2299 763 708 19 192
Chrysolophus_pictus.ND2 1315 1375 338 1052 355 295 16 116
Chuanchia_labiosa.CytB 1752 1820 1155 2113 518 315 161 246
Cichla_monoculus.ATP6 3364 4179 1583 3300 1053 959 155 343
Cichla_ocellaris.ATP8 210 236 60 148 55 40 11 NA
Cichla_orinocensis.ATP6 2150 2616 1033 2229 648 567 127 261
Cichla_pinima.ATP6 2946 3580 1315 2911 959 775 112 329
Cinclodes_fuscus.COX2 4894 4633 2349 4467 1021 848 52 690
Circus_pygargus.ND1 1085 1355 483 953 325 304 46 87
Cirrhinus_molitorella.ND4 1802 1519 730 1469 587 260 29 124
Cirrhinus_mrigala.ATP6 2072 1989 899 1850 755 328 106 164
Cirrhinus_mrigala.ATP8 229 177 73 169 50 17 20 NA
Cirrhinus_mrigala.CytB 3082 3028 1421 2729 1043 509 83 181
Cirrhinus_mrigala.ND4 1331 1223 549 1019 451 223 31 81
Cirrhinus_reba.CytB 2933 2408 1242 2537 1080 303 38 110
Cirrhitichthys_oxycephalus.ATP6 3176 3645 1978 4130 906 531 270 836
Clangula_hyemalis.ND2 2988 3774 1366 2192 937 833 197 163
Clarias_fuscus.CytB 1678 1615 744 1603 542 302 46 75
Clarias_gariepinus.CytB 1644 1730 714 1447 579 282 8 105
Cleisthenes_herzensteini.COX1 1494 1708 1206 1820 379 339 142 286
Cleisthenes_herzensteini.CytB 1000 1356 706 1354 237 315 36 228
Clupea_harengus.ATP6 9197 11399 5382 10634 2789 2210 505 1953
Clupea_harengus.ATP8 198 196 90 176 12 36 8 34
Clupea_harengus.COX1 26524 28039 20466 30235 8330 4331 2615 4443
Clupea_harengus.COX2 7159 6895 4668 6808 1634 1150 499 936
Clupea_harengus.COX3 8925 11307 7241 10111 2723 2312 625 1153
Clupea_harengus.CytB 46064 52509 33704 53843 13396 8135 5982 6972
Clupea_harengus.ND1 17592 23806 15759 23519 3897 4687 3500 3877
Clupea_harengus.ND2 17121 22098 12189 17442 3567 4816 2296 3237
Clupea_harengus.ND3 2122 2727 1938 2957 584 652 230 358
Clupea_harengus.ND4 29269 36617 22959 31215 7524 7641 3735 4175
Clupea_harengus.ND4L 1243 1703 899 1447 339 458 110 154
Clupea_pallasii.CytB 44169 50742 33453 53244 12590 7800 6110 7111
Cnemaspis_limi.ND2 1426 1617 504 951 358 389 21 105
Cnemaspis_peninsularis.ND2 7985 10008 3066 5041 1946 2586 323 518
Cnemotriccus_fuscatus.ND2 4100 4434 1590 4082 823 753 203 839
Cobitis_bilineata.ATP6 1398 1411 809 1734 383 308 97 205
Cobitis_biwae.ND4 3781 3637 2075 4307 950 710 204 607
Cobitis_choii.CytB 2471 2358 1353 2807 786 396 116 290
Cobitis_elongatoides.ATP6 1463 1280 745 1861 396 210 62 296
Cobitis_elongatoides.ATP8 260 229 93 240 37 36 4 28
Cobitis_elongatoides.CytB 5853 5429 3400 6978 1872 874 351 834
Cobitis_lutheri.CytB 4404 3796 2322 5307 1386 541 173 656
Cobitis_melanoleuca_granoei.CytB 3544 3047 1878 4064 1141 444 144 466
Cobitis_paludica.CytB 11790 11301 6332 13665 3611 1852 560 1725
Cobitis_sinensis.CytB 2183 2071 1197 2528 683 378 81 282
Cobitis_striata.ND4 3773 3695 2026 4306 927 730 206 620
Cobitis_taenia.CytB 7514 6712 3884 8742 2422 994 290 1145
Coccothraustes_coccothraustes.ND2 2878 3228 961 2275 737 658 100 324
Codoma_ornata.CytB 6899 9110 5275 8199 1637 2035 844 786
Coeligena_coeligena.ND2 7083 7506 2391 5650 1880 1528 260 651
Coeligena_torquata.ND2 5886 6706 2327 4674 1507 1570 293 361
Coelodonta_antiquitatis.CytB 1638 1893 685 1417 468 360 28 107
Coilia_dussumieri.ATP6 6194 5688 2601 5947 1955 1067 239 533
Coilia_grayii.CytB 1759 1776 942 2021 547 300 36 269
Coilia_mystus.CytB 1894 1884 996 2048 576 297 55 283
Collocalia_esculenta.CytB 2510 3230 1175 2181 796 702 35 181
Colobus_angolensis.CytB 3807 3812 1396 3525 960 757 62 337
Colobus_angolensis.ND3 533 508 186 465 128 100 8 44
Colobus_angolensis.ND4 3016 2845 987 2791 644 611 57 260
Colobus_guereza.ND3 1325 1213 475 1217 302 249 26 129
Colobus_guereza.ND4 10248 9783 3436 9572 2240 2109 225 1037
Colobus_guereza.ND4L 1428 1196 525 1555 374 255 45 110
Colomesus_asellus.ATP6 11972 16153 5741 13420 2998 4076 337 2266
Colomesus_asellus.ATP8 1181 1335 378 901 187 296 24 93
Coluber_constrictor.CytB 47244 42978 16080 40676 14320 5775 771 3675
Columba_livia.COX1 2423 2981 1496 2388 653 676 73 317
Columba_livia.COX3 1046 1306 592 971 297 265 32 102
Columba_livia.CytB 2471 3275 1133 2241 723 775 30 207
Columba_livia.ND1 1988 2635 1000 2081 509 666 85 249
Columba_livia.ND2 2536 2595 812 1857 667 517 72 247
Columba_livia.ND4 2938 3452 1028 2221 817 724 58 214
Columbina_passerina.ATP6 1948 2422 622 1698 601 475 38 229
Comephorus_baicalensis.CytB 12474 17625 8721 14760 3035 4127 803 1844
Comephorus_dybowskii.CytB 8751 12267 6135 10467 2146 2902 528 1286
Condylura_cristata.CytB 1507 1181 578 1282 523 119 5 84
Conger_myriaster.COX1 2554 2104 1628 2984 738 294 140 474
Conolophus_subcristatus.CytB 8596 10064 3549 7761 2577 2102 199 483
Conolophus_subcristatus.ND2 1317 1114 355 754 407 188 29 49
Contia_tenuis.CytB 5697 5744 2175 5254 1501 899 205 567
Copsychus_saularis.CytB 7958 9972 3678 6517 2636 2105 184 319
Copsychus_saularis.ND2 10276 12347 4245 8622 2568 2661 498 1187
Corallus_hortulanus.CytB 13473 11803 4867 10559 4384 1575 328 483
Coregonus_albula.ND1 2493 3404 1991 3236 610 855 287 528
Coregonus_autumnalis.CytB 1366 1701 963 1644 357 361 105 208
Coregonus_chadary.ND1 832 1130 691 1067 200 270 115 171
Coregonus_clupeaformis.COX1 1735 2175 1540 2290 380 535 205 290
Coregonus_clupeaformis.CytB 1097 1410 771 1282 282 328 86 140
Coregonus_clupeaformis.ND2 1054 1304 590 976 293 292 71 171
Coregonus_clupeaformis.ND4 2505 3022 1556 2577 609 720 169 315
Coregonus_lavaretus.COX1 3157 3900 2758 4117 724 933 349 532
Coregonus_lavaretus.COX2 1101 1180 712 1147 171 216 58 239
Coregonus_lavaretus.COX3 1097 1448 842 1311 242 356 65 158
Coregonus_lavaretus.CytB 10206 13292 7293 12070 2645 2995 832 1396
Coregonus_lavaretus.ND1 7238 9750 5610 9022 1742 2475 838 1336
Coregonus_lavaretus.ND2 2562 3272 1544 2432 647 740 269 424
Coregonus_lavaretus.ND3 783 1123 589 985 221 260 48 160
Coregonus_lavaretus.ND4 4393 5172 2576 4419 1083 1254 259 512
Coregonus_lavaretus.ND4L 405 594 314 451 157 138 28 61
Coregonus_muksun.CytB 1081 1413 780 1285 280 321 83 151
Coregonus_muksun.ND1 2123 2865 1657 2655 513 725 247 395
Coregonus_nasus.CytB 1357 1755 987 1594 353 372 123 197
Coregonus_nasus.ND1 851 1120 686 1063 213 265 111 165
Coregonus_oxyrinchus.COX1 1756 2168 1530 2286 403 519 193 295
Coregonus_oxyrinchus.COX2 736 787 473 764 115 143 38 160
Coregonus_oxyrinchus.COX3 732 965 561 874 161 237 44 106
Coregonus_oxyrinchus.CytB 1627 2116 1172 1925 421 476 129 229
Coregonus_oxyrinchus.ND2 1280 1635 774 1216 326 368 135 212
Coregonus_oxyrinchus.ND4 1463 1725 861 1471 360 419 88 169
Coregonus_peled.ND1 842 1138 662 1078 210 286 90 174
Coregonus_ussuriensis.ND1 2703 3669 2248 3470 647 871 380 560
Coreoleuciscus_splendidus.ATP8 244 171 65 168 39 21 4 19
Coreoleuciscus_splendidus.COX1 6206 5723 4109 7182 1916 979 319 1037
Coreoleuciscus_splendidus.COX2 1074 854 561 961 277 123 22 127
Coreoleuciscus_splendidus.COX3 1075 1010 671 1159 345 149 40 155
Coreoleuciscus_splendidus.CytB 17190 15158 8436 18028 5311 2151 591 2137
Coreoleuciscus_splendidus.ND1 1411 1245 791 1413 518 191 89 160
Coreoleuciscus_splendidus.ND2 1959 1787 831 1687 494 362 90 246
Coreoleuciscus_splendidus.ND3 372 374 246 448 123 56 23 60
Coreoleuciscus_splendidus.ND4 2079 1764 1006 2051 650 307 65 248
Coreoleuciscus_splendidus.ND4L 298 360 182 336 98 80 10 32
Coreoperca_kawamebari.CytB 1057 1450 695 1358 267 340 41 213
Corvus_corax.COX1 4499 4566 2526 3889 1674 654 106 492
Corvus_corax.COX2 2023 1925 1079 1573 564 240 44 299
Corvus_corax.COX3 2250 2545 1267 2056 694 372 50 368
Corvus_corax.CytB 4065 4421 1695 3408 1440 742 81 248
Corvus_corax.ND1 3088 3240 1450 2947 1056 548 101 327
Corvus_corax.ND2 1256 1365 432 1087 375 266 21 157
Corvus_corone.CytB 14091 16292 6093 12212 5270 2681 229 944
Corvus_macrorhynchos.CytB 28126 31978 12710 24039 9767 5276 907 2135
Corvus_macrorhynchos.ND2 1782 2061 691 1563 502 420 78 245
Corvus_macrorhynchos.ND3 579 588 309 612 184 95 48 70
Corvus_splendens.ATP6 831 927 289 677 309 160 34 71
Corvus_splendens.CytB 1645 1882 755 1418 570 346 50 104
Corvus_splendens.ND2 1204 1415 484 1049 322 320 58 136
Corvus_splendens.ND4L 284 429 164 299 96 101 8 35
Corydoras_nattereri.CytB 1213 1310 611 1198 401 239 46 87
Coryphaena_hippurus.ND1 31432 37244 22538 41128 7722 7388 2803 7137
Cottus_asperrimus.ATP6 2241 2940 1144 2528 629 718 52 450
Cottus_bairdii.ATP6 1423 2147 820 1734 375 519 46 380
Cottus_bairdii.ATP8 442 517 195 331 72 118 18 35
Cottus_carolinae.ATP6 4048 6030 2175 4764 1002 1501 119 972
Cottus_pollux.CytB 1036 1415 705 1308 237 349 64 157
Cottus_reinii.CytB 1024 1434 716 1290 228 358 72 150
Coturnix_coturnix.CytB 1598 1949 662 1431 475 396 12 150
Crax_rubra.ATP8 165 176 31 132 49 25 7 11
Crax_rubra.ND2 1140 1217 418 885 303 227 58 138
Cricetulus_kamensis.CytB 1765 1628 743 1579 558 256 22 133
Cricetus_cricetus.CytB 3122 3345 1463 3230 848 632 102 363
Crinia_georgiana.ND2 14188 14938 5146 12960 3214 3486 281 1946
Crocidura_attenuata.CytB 2942 2601 1384 3224 741 481 50 366
Crocidura_attenuata.ND2 1372 956 336 1224 273 199 14 134
Crocidura_beatus.ATP8 305 179 47 273 35 10 12 46
Crocidura_beatus.COX2 875 592 359 898 143 99 11 157
Crocidura_beatus.CytB 9627 8715 4272 9750 2557 1609 122 973
Crocidura_beatus.ND1 1058 903 445 1170 285 153 18 158
Crocidura_beatus.ND2 12634 8296 2969 11506 2479 1512 81 1368
Crocidura_beatus.ND3 401 308 165 506 70 52 7 74
Crocidura_beatus.ND4L 356 240 162 418 117 32 11 46
Crocidura_dsinezumi.CytB 33189 32082 16532 37288 8208 5778 951 4666
Crocidura_fuliginosa.CytB 1997 1732 887 2151 489 311 31 245
Crocidura_grayi.ATP6 887 664 261 900 181 100 9 148
Crocidura_grayi.ATP8 306 171 46 275 31 13 12 42
Crocidura_grayi.COX1 1648 1338 1022 2160 412 197 68 393
Crocidura_grayi.COX3 898 795 467 972 237 151 17 104
Crocidura_grayi.CytB 17558 15961 8044 18053 4716 2831 316 1964
Crocidura_grayi.ND1 1399 1193 572 1606 367 222 20 202
Crocidura_grayi.ND2 13865 8946 3300 13003 2420 1571 146 1729
Crocidura_grayi.ND3 401 314 165 500 69 70 6 60
Crocidura_grayi.ND4 1740 1360 562 1846 348 243 19 265
Crocidura_grayi.ND4L 329 216 152 407 97 34 12 49
Crocidura_lasiura.CytB 2310 2138 1039 2472 584 391 15 313
Crocidura_mindorus.CytB 1362 1203 596 1387 346 210 18 159
Crocidura_mindorus.ND2 1354 883 320 1259 251 165 10 149
Crocidura_monticola.CytB 5258 4546 2287 5715 1326 725 60 758
Crocidura_negrina.CytB 1694 1497 749 1745 426 260 22 207
Crocidura_olivieri.CytB 4563 3876 2088 5264 1087 672 90 673
Crocidura_orientalis.CytB 1938 1781 870 2016 493 337 15 206
Crocidura_palawanensis.CytB 4957 4502 2153 4993 1333 831 46 523
Crocidura_palawanensis.ND2 2087 1368 469 1908 395 251 7 233
Crocidura_panayensis.CytB 1360 1197 593 1398 344 213 17 163
Crocidura_panayensis.ND2 1353 847 331 1285 254 139 14 169
Crocidura_paradoxura.CytB 3165 2770 1389 3356 789 515 33 382
Crocidura_russula.COX2 2922 2068 1312 2937 441 329 68 521
Crocidura_shantungensis.CytB 13321 11463 5962 14512 3567 1999 181 1474
Crocidura_sibirica.CytB 3374 2879 1475 3580 874 498 48 391
Crocidura_suaveolens.CytB 3064 2581 1325 3232 801 440 33 356
Crocidura_tanakae.CytB 3618 3175 1618 3930 938 571 27 478
Crocodylus_acutus.COX1 2265 2049 1255 2201 666 335 98 230
Crocodylus_acutus.CytB 3581 3608 1615 2998 1209 604 118 224
Crocodylus_acutus.ND2 1599 1704 628 1334 433 386 88 135
Crocodylus_acutus.ND3 313 319 184 288 93 59 17 21
Crocodylus_johnsoni.CytB 1340 1469 659 1152 401 245 91 75
Crocodylus_mindorensis.ND4 1101 1099 472 838 356 204 52 62
Crocodylus_moreletii.CytB 1259 1315 589 1052 429 227 46 75
Crocodylus_moreletii.ND2 1207 1235 485 985 336 272 57 99
Crocodylus_niloticus.COX1 1804 1647 1000 1753 537 290 74 166
Crocodylus_niloticus.COX2 922 768 368 666 245 112 27 51
Crocodylus_niloticus.COX3 857 931 514 830 228 177 51 67
Crocodylus_niloticus.CytB 4316 4632 2145 3843 1373 755 288 310
Crocodylus_niloticus.ND1 1327 1450 730 1293 411 277 121 119
Crocodylus_niloticus.ND2 2066 2190 814 1797 598 454 105 194
Crocodylus_niloticus.ND3 381 398 246 355 113 75 27 23
Crocodylus_niloticus.ND4 1275 1218 515 988 387 217 65 86
Crocodylus_niloticus.ND4L 296 380 139 337 87 85 21 28
Crocodylus_novaeguineae.ND4 1340 1320 533 1019 400 275 51 60
Crocodylus_palustris.CytB 1357 1470 629 1164 429 243 70 89
Crocodylus_porosus.ND4 899 846 352 711 285 148 35 68
Crocodylus_siamensis.ND2 1264 1398 506 1044 345 301 84 103
Crocodylus_siamensis.ND4 891 864 360 693 279 154 39 62
Crocuta_crocuta.CytB 2104 2116 900 1702 650 375 87 81
Crocuta_crocuta.ND2 1935 1666 478 1120 555 317 30 59
Crossoptilon_auritum.ND2 1706 1906 520 1250 440 438 52 96
Crossoptilon_crossoptilon.CytB 1235 1604 590 1131 374 347 32 115
Crossoptilon_crossoptilon.ND2 1496 1622 439 1138 390 387 30 84
Crotalus_aquilus.ATP6 3050 3229 1035 2376 755 609 164 304
Crotalus_cerberus.ATP6 8588 8835 3096 7279 2059 1863 454 675
Crotalus_lepidus.ATP6 8048 8823 2936 6273 1906 1891 425 719
Crotalus_oreganus.ND2 4201 4337 1456 2781 1059 908 168 245
Crotalus_pricei.ATP6 5092 5576 2004 4523 1018 1192 286 520
Crotalus_ravus.ATP6 2051 2124 632 1461 476 473 59 127
Crotalus_triseriatus.ATP6 3755 4112 1339 2993 878 890 195 365
Crotaphytus_bicinctores.ND2 16007 12287 4919 10302 4190 2289 337 610
Crotaphytus_collaris.ND2 31231 24786 8902 19563 8454 4564 826 1231
Crotaphytus_nebrius.ND2 7449 6101 1865 4514 2152 1095 156 352
Crotaphytus_vestigium.ND2 4240 3756 1230 2667 1238 730 99 179
Cryodraco_antarcticus.ND2 10657 14605 5947 9873 2646 3865 551 1719
Cryptocentrus_cinctus.ND1 831 1390 686 981 205 386 117 93
Cryptomys_hottentotus.CytB 5270 4001 2260 5342 1483 375 192 522
Crystallaria_asprella.CytB 2966 3758 1993 3757 749 867 209 482
Ctenochromis_horei.ND2 1822 2422 773 1807 391 607 67 379
Ctenogobiops_feroculus.ND1 1906 2888 1390 2186 502 747 183 290
Ctenogobiops_feroculus.ND2 1638 2689 1095 1658 323 752 196 248
Ctenomys_minutus.CytB 2807 2281 1041 2702 727 360 22 230
Ctenomys_pearsoni.CytB 4903 4236 1975 4856 1317 667 59 408
Ctenomys_rionegrensis.CytB 5957 5013 2410 5877 1511 772 117 580
Ctenomys_sociabilis.CytB 1434 1114 559 1441 376 161 22 137
Ctenomys_torquatus.CytB 6796 5892 2799 6626 1810 924 107 571
Ctenopharyngodon_idella.ATP8 309 241 84 176 62 32 1 13
Ctenopharyngodon_idella.COX1 2532 2351 1635 2770 827 361 128 418
Ctenopharyngodon_idella.COX2 844 709 448 759 208 108 20 104
Ctenopharyngodon_idella.COX3 1079 1091 669 1076 364 162 35 133
Ctenopharyngodon_idella.CytB 3064 2850 1417 2875 1000 503 91 212
Ctenopharyngodon_idella.ND1 2102 1806 987 1909 763 278 67 185
Ctenopharyngodon_idella.ND2 1729 1616 641 1234 518 311 35 147
Ctenopharyngodon_idella.ND4 2181 1897 962 1860 650 325 91 172
Ctenopharyngodon_idella.ND4L 303 352 195 326 116 75 7 19
Ctenotus_atlas.CytB 8980 9420 4381 7918 2948 1435 416 690
Ctenotus_dux.CytB 9740 10060 4776 8397 3378 1493 503 681
Ctenotus_inornatus.CytB 19521 19601 9110 17888 6491 3075 730 1606
Ctenotus_leonhardii.CytB 9313 9900 4463 8244 3055 1720 363 638
Ctenotus_pantherinus.CytB 17247 16769 7992 15979 5645 2498 562 1547
Ctenotus_piankai.CytB 30709 31200 14482 27347 10247 5189 1191 2076
Ctenotus_quattuordecimlineatus.CytB 13539 13963 6245 11733 4571 2304 460 917
Ctenotus_robustus.CytB 1299 1366 644 1251 405 232 63 125
Ctenotus_schomburgkii.CytB 1670 1717 808 1490 538 301 86 89
Culaea_inconstans.ATP6 2056 2143 984 2293 459 445 113 465
Culter_alburnus.COX1 2090 2050 1390 2210 672 331 133 309
Culter_alburnus.COX2 1250 1112 676 1102 285 156 39 173
Culter_alburnus.COX3 1716 1818 1092 1638 559 303 90 162
Culter_alburnus.CytB 3345 3345 1674 3036 1132 552 115 258
Culter_alburnus.ND1 2037 2013 1028 1726 746 324 103 167
Culter_alburnus.ND2 3345 3430 1345 2320 994 713 110 265
Culter_alburnus.ND3 473 542 266 459 155 117 30 25
Culter_alburnus.ND4 3809 3664 1773 3174 1155 705 155 284
Cuora_amboinensis.CytB 2085 2354 921 1881 640 448 55 195
Cuora_bourreti.ND1 996 940 355 937 311 158 24 91
Cuora_flavomarginata.CytB 1336 1387 550 1238 376 246 27 149
Cuora_flavomarginata.ND1 1005 896 352 963 295 143 17 95
Cuora_trifasciata.CytB 2965 3343 1308 2824 850 591 70 318
Cuora_trifasciata.ND1 4742 4683 1822 4593 1424 807 123 471
Cyanistes_caeruleus.CytB 1827 2531 879 1603 524 583 51 137
Cyanistes_caeruleus.ND2 2393 2846 895 1738 663 633 74 197
Cyanistes_teneriffae.CytB 2110 2902 1061 1907 637 618 62 202
Cyanocitta_stelleri.ND2 2162 2375 809 1920 531 451 99 320
Cyanopica_cyanus.CytB 12668 14721 6099 11272 4244 2781 492 781
Cyanopica_cyanus.ND2 9256 9563 3246 7341 2516 1785 334 1009
Cyclarhis_gujanensis.ND2 8371 8230 2963 6097 2526 1246 407 772
Cygnus_columbianus.ND2 1263 1467 459 927 357 329 40 87
Cynomys_ludovicianus.COX2 6657 5219 2972 6263 1436 717 253 1048
Cynomys_ludovicianus.CytB 4461 4419 2064 4970 1171 751 53 721
Cynomys_mexicanus.CytB 4005 3969 1859 4596 1052 677 39 664
Cynops_ensicauda.CytB 32102 29604 18074 35057 8953 4132 2874 3661
Cynops_pyrrhogaster.CytB 44099 38267 22702 46552 11981 5349 3210 4300
Cynopterus_brachyotis.CytB 12362 12551 6192 12101 3988 2085 478 1056
Cynopterus_sphinx.CytB 14431 14553 6642 13136 4903 2210 420 1055
Cyprichromis_leptosoma.ND2 1644 2198 699 1723 347 557 40 378
Cyprinella_caerulea.ND2 3594 4238 2042 3191 957 1005 189 504
Cyprinella_lepida.CytB 1791 2315 1510 2322 394 480 301 274
Cyprinella_lepida.ND2 2559 3582 2112 2939 557 840 383 542
Cyprinella_lutrensis.CytB 8151 10059 6059 9926 1955 2076 995 1181
Cyprinella_lutrensis.ND2 9355 12671 7099 10421 2136 3048 1118 1847
Cyprinella_spiloptera.CytB 2147 2673 1704 2596 546 519 317 299
Cyprinella_venusta.CytB 5024 5921 3603 5858 1357 1115 569 665
Cyprinella_venusta.ND2 1067 1279 700 1130 267 280 107 196
Cyprinodon_nevadensis.ND2 1993 3337 1403 2663 365 884 138 573
Cyprinodon_rubrofluviatilis.ND2 1155 1901 719 1445 231 499 66 294
Cyprinodon_variegatus.CytB 3315 4023 2246 4059 927 752 239 657
Cyprinodon_variegatus.ND2 7987 12915 4745 9848 1580 3376 438 2092
Cyprinus_carpio.ATP6 2655 2450 1159 2394 1050 351 105 221
Cyprinus_carpio.ATP8 342 244 111 275 68 24 36 NA
Cyprinus_carpio.COX1 10141 9865 6533 10613 3393 1548 517 1482
Cyprinus_carpio.COX2 7617 6534 4146 6543 1840 999 375 889
Cyprinus_carpio.COX3 4261 4246 2362 4008 1371 706 97 423
Cyprinus_carpio.CytB 12396 12421 5742 11066 4319 1971 277 926
Cyprinus_carpio.ND1 4194 4151 1910 3353 1588 731 127 264
Cyprinus_carpio.ND2 8384 7975 3190 5507 2677 1541 330 437
Cyprinus_carpio.ND3 1010 992 497 981 358 195 34 69
Cyprinus_carpio.ND4 9026 8461 3959 7534 2812 1500 292 783
Cyprinus_carpio.ND4L 745 887 473 835 260 158 44 114
Cyprinus_carpio_carpio.COX1 1692 1650 1088 1762 568 258 84 246
Cyprinus_carpio_carpio.CytB 1366 1368 633 1193 485 213 26 98
Cyprinus_multitaeniata.CytB 2064 1995 940 1841 730 310 42 150
Danio_rerio.ATP6 792 744 329 859 234 104 24 144
Danio_rerio.COX1 1731 1384 1089 1987 537 164 73 320
Danio_rerio.COX2 857 655 444 803 193 78 29 120
Danio_rerio.COX3 853 777 550 952 275 108 36 124
Danio_rerio.CytB 23708 20235 12096 26545 7391 2559 1304 2668
Danio_rerio.ND1 1475 1204 760 1420 529 147 63 162
Danio_rerio.ND3 408 311 216 457 133 46 12 43
Danio_rerio.ND4 2190 1664 988 2057 639 173 94 294
Dasyatis_zugei.ND2 2758 2071 734 2617 685 307 26 338
Dasypus_novemcinctus.CytB 10153 9674 4456 8831 3261 1342 365 569
Dasyurus_hallucatus.CytB 1923 1892 879 2164 485 280 23 371
Daubentonia_madagascariensis.ATP6 851 854 265 742 248 155 20 85
Daubentonia_madagascariensis.ATP8 319 233 52 200 61 29 16 20
Daubentonia_madagascariensis.COX1 2137 2141 1256 2176 559 438 84 267
Daubentonia_madagascariensis.COX2 880 768 353 723 158 170 30 80
Daubentonia_madagascariensis.COX3 1313 1427 688 1270 358 281 44 118
Daubentonia_madagascariensis.CytB 1658 1854 672 1501 428 406 31 90
Daubentonia_madagascariensis.ND1 1463 1458 550 1299 406 302 20 135
Daubentonia_madagascariensis.ND2 1464 1269 382 1049 295 282 34 94
Daubentonia_madagascariensis.ND4 3503 3379 1130 2932 839 714 106 272
Deinagkistrodon_acutus.ND2 9090 9080 2819 6011 2228 1898 383 631
Deinagkistrodon_acutus.ND4 1189 1206 480 922 337 222 60 75
Delomys_dorsalis.CytB 3056 2903 1271 3054 863 411 62 352
Delphinus_capensis.CytB 2009 1995 831 1861 597 345 35 174
Delphinus_delphis.CytB 17306 17343 7212 16012 5154 3063 337 1438
Deltamys_kempi.CytB 8563 7921 3483 8458 2539 1032 158 1120
Deltistes_luxatus.CytB 1177 1268 758 1333 348 223 80 169
Deltistes_luxatus.ND4L 561 648 431 712 172 128 29 80
Dendrocopos_major.ATP6 1094 1528 446 1018 293 388 45 106
Dendrocopos_major.ND2 3333 4245 1029 2836 802 1079 54 309
Dendropsophus_reticulatus.ND1 3787 3793 1851 4609 913 763 127 700
Desmodus_rotundus.CytB 10500 13496 4912 8118 3323 2934 435 318
Desmognathus_fuscus.ND2 9212 4649 2111 8002 1995 584 100 718
Desmognathus_wrighti.ND2 1569 865 390 1292 372 130 18 94
Diadophis_punctatus.CytB 62135 57556 21747 56175 18127 8951 1641 4674
Dicamptodon_copei.CytB 2050 1309 840 2461 424 130 51 312
Dicamptodon_tenebrosus.CytB 5636 3476 2221 6762 1161 308 118 870
Dicentrarchus_labrax.CytB 2242 2448 1494 2936 538 479 155 406
Dicentrarchus_punctatus.CytB 1112 1262 759 1427 268 269 94 176
Dicrurus_forficatus.ATP6 3934 3872 1213 3239 1333 557 161 440
Dicrurus_hottentottus.ND2 2726 2417 896 2262 776 366 95 308
Diodon_holocanthus.ATP6 9958 14383 5136 11947 2731 3322 441 2302
Diodon_holocanthus.ATP8 960 1136 323 694 208 264 76 NA
Diplodus_sargus.CytB 1936 2444 1269 2289 529 518 93 364
Diplodus_vulgaris.CytB 3029 3507 1776 3766 865 746 57 608
Diplomystes_nahuelbutaensis.CytB 7920 8371 4267 7867 2429 1709 365 529
Diplomystes_nahuelbutaensis.ND4 2399 2480 1229 2172 609 525 139 247
Diplomystes_nahuelbutaensis.ND4L 307 378 180 311 117 88 7 25
Dipodillus_campestris.CytB 3665 3584 1461 3596 1042 581 35 315
Dipturus_kwangtungensis.ND2 1689 1866 590 1523 434 455 39 168
Diptychus_maculatus.CytB 13335 14813 9886 16686 3690 2504 1622 2019
Discoglossus_galganoi.ND1 960 1041 617 1066 280 184 93 167
Discogobio_tetrabarbatus.CytB 1366 1210 633 1351 457 177 29 134
Dissostichus_eleginoides.ND2 822 1284 709 875 172 335 113 169
Distoechodon_tumirostris.CytB 1667 1631 858 1544 553 256 81 139
Dolloidraco_longedorsalis.ND2 6259 9680 4428 6666 1458 2609 599 1271
Dormitator_maculatus.CytB 1109 1432 694 1193 298 324 71 132
Doryrhamphus_excisus.ATP6 7212 8874 3604 7525 2093 1978 363 801
Dremomys_rufigenis.CytB 1484 1692 737 1633 392 341 41 179
Dromaius_novaehollandiae.COX1 2539 2650 1500 2563 787 490 72 355
Drymarchon_couperi.CytB 14078 11949 4782 12481 4118 1847 398 949
